Voter,Barry Bonds,Roger Clemens,Johnny Damon,Vlad Guerrero,Trevor Hoffman,Andruw Jones,Chipper Jones,Jeff Kent,Edgar Martinez,Fred McGriff,Mike Mussina,Manny Ramirez,Scott Rolen,Johan Santana,Curt Schilling,Gary Sheffield,Sammy Sosa,Jim Thome,Omar Vizquel,Billy Wagner,Larry Walker
Alan Eskew*,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0
Michael Fannin*,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0
Howard Fendrich*,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Larry Fine*,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0
Mike Fitzpatrick*,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0
Randy Galloway,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Jim Gauger*,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0
Jerry Green*,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
Bill Hartman*,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0
Jim Hawkins*,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0
Jim Henneman*,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0
Manolo Hernandez-Douen*,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0
Steve Herrick*,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
John Hickey*,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0
Hirokazu Higuchi*,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
Jeff Horrigan*,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0
Alan Hoskins*,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0
Paul Hoynes*,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0
Jim Ingraham*,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0
Tom Keegan*,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Chuck Klonke*,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1
Danny Knobler,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
Steve Kornacki*,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1
Bob Kuenster,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1
Bill Lankhof*,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Seth Livingstone,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1
Mike Lopresti*,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
Mike Lupica*,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0
Bill Madden,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0
Marino Martinez*,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0
Hal McCoy,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
Dan McGrath*,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1
Adam Mertz,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
Larry Millson*,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1
Fred Mitchell,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1
LaVelle Neal III,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0
Sheldon Ocker*,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1
Drew Olson,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1
Gregg Patton*,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1
Ed Petruska,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0
Ray Ratto*,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1
Jim Reeves,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1
Patrick Reusse*,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1
Alan Robinson*,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Richard Rupprecht*,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
Dick Scanlon*,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Chaz Scoggins*,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0
Tom Timmermann*,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1
Howard Ulman*,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1
Bill Windler*,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0
Gordon Wittenmyer,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0
Mark Zuckerman,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1
Anonymous1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Anonymous2,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1
Anonymous3,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0
Anonymous4,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0
